REGN;C1_2;C2_2
232;Ар4.1;1707645,00
232;Ар4.2;1707645,00
232;Ариск0;461727,00
232;Кф;0,95
232;Крд;929706,00
232;Крис;10237,00
232;Кскр;58195,00
232;Лам;1571768,00
232;Лат;2530996,00
232;ОД;90770,00
232;Овм;1808705,00
232;Овт;2009964,00
232;ПР0;0,00
232;ПР1;0,00
232;ОПР1;0,00
232;СПР1;0,00
232;ФР1;0,00
232;ОФР1;0,00
232;СФР1;0,00
232;ОПР0;0,00
232;ПР2;0,00
232;ОПР2;0,00
232;СПР2;0,00
232;ФР2;0,00
232;ОФР2;0,00
232;СФР2;0,00
232;СПР0;0,00
232;ФР0;0,00
232;ОФР0;0,00
232;ТР;0,00
232;ОТР;0,00
232;ДТР;0,00
232;ГВР(ТР);0,00
232;ГВР(ВР);0,00
232;ГВР(ПР);0,00
232;ГВР(ФР);0,00
232;СФР0;0,00
232;ВР;0,00
236;Ар1.0;158415,00
236;Ар1.2;158415,00
236;Ар2.0;7,00
236;Ар2.2;7,00
236;Ар3.0;0,00
236;Ар3.2;0,00
236;Ар4.0;356967,00
236;Ар4.2;168177,00
236;Ар5.0;0,00
236;Ар5.2;0,00
236;Ариск0;158415,00
236;БК;7678,00
236;Кф;1,00
236;КРФмп0;0,00
236;КРФрп0;0,00
236;КРФсп0;0,00
236;КРФмп2;0,00
236;КРФрп2;0,00
236;КРФсп2;0,00
236;Лам;206085,00
236;Лат;316257,00
236;Овт;278817,00
236;ПК0;428048,00
236;ПК2;428048,00
236;РР0;42495,00
236;РР2;42495,00
236;ПР0;0,00
236;ПР1;0,00
236;ОПР1;0,00
236;СПР1;0,00
236;ФР1;0,00
236;ОФР1;0,00
236;СФР1;0,00
236;ОПР0;0,00
236;ПР2;0,00
236;ОПР2;0,00
236;СПР2;0,00
236;ФР2;0,00
236;ОФР2;0,00
236;СФР2;0,00
236;СПР0;0,00
236;ФР0;0,00
236;ОФР0;0,00
236;ТР;0,00
236;ОТР;0,00
236;ДТР;0,00
236;ГВР(ТР);0,00
236;ГВР(ВР);0,00
236;ГВР(ПР);0,00
236;ГВР(ФР);0,00
236;СФР0;0,00
236;ВР;3399,60
249;Ар1.0;2452754,00
249;Ар1.1;2452754,00
249;Ар1.2;2452754,00
249;Ар2.0;30296,00
249;Ар2.1;30296,00
249;Ар2.2;30296,00
249;Ар3.0;24016,00
249;Ар3.1;24016,00
249;Ар3.2;24016,00
249;Ар4.0;12960511,00
249;Ар4.1;12900147,00
249;Ар4.2;12900147,00
249;Ариск0;2452754,00
249;БК;87648,00
249;Кф;1,00
249;Крд;10205187,00
249;Крис;28973,00
249;Кскр;4398501,00
249;Лам;6153683,00
249;Лат;9847331,00
249;ОД;3493056,00
249;Овм;4002839,00
249;Овт;7913589,00
249;ПК0;1887084,00
