date,res_res
2019-11-20,540917.0
2019-11-25,540917.0
2019-11-28,540917.0
2019-12-01,542029.0
2019-12-05,542029.0
2019-12-10,542029.0
2019-12-15,542029.0
2019-12-20,542029.0
2019-12-25,542029.0
2019-12-28,542029.0
2020-01-01,554359.0
2020-01-05,554359.0
2020-01-10,554359.0
2020-01-15,554359.0
2020-01-20,554359.0
2020-01-25,554359.0
2020-01-28,554359.0
2020-02-01,562306.0
2020-02-05,562306.0
2020-02-10,562306.0
2020-02-15,562306.0
2020-02-20,562306.0
2020-02-25,562306.0
2020-02-28,562306.0
2020-03-01,570381.0
2020-03-05,570381.0
2020-03-10,570381.0
2020-03-15,570381.0
2020-03-20,570381.0
2020-03-25,570381.0
2020-03-28,570381.0
2020-04-01,563473.0
2020-04-05,563473.0
2020-04-10,563473.0
2020-04-15,563473.0
2020-04-20,563473.0
2020-04-25,563473.0
2020-04-28,563473.0
2020-05-01,566012.0
2020-05-05,566012.0
2020-05-10,566012.0
2020-05-15,566012.0
2020-05-20,566012.0
2020-05-25,566012.0
2020-05-28,566012.0
2020-06-01,566134.0
2020-06-05,566134.0
2020-06-10,566134.0
2020-06-15,566134.0
2020-06-20,566134.0
2020-06-25,566134.0
2020-06-28,566134.0
2020-07-01,568872.0
2020-07-05,568872.0
2020-07-10,568872.0
2020-07-15,568872.0
2020-07-20,568872.0
2020-07-25,568872.0
2020-07-28,568872.0
2020-08-01,591753.0
