date,bas_dep
2018-01-10,53117284.0
2018-01-15,53117284.0
2018-01-20,53117284.0
2018-01-25,53117284.0
2018-01-28,53117284.0
2018-02-01,53220553.0
2018-02-05,53220553.0
2018-02-10,53220553.0
2018-02-15,53220553.0
2018-02-20,53220553.0
2018-02-25,53220553.0
2018-02-28,53220553.0
2018-03-01,52931477.0
2018-03-05,52931477.0
2018-03-10,52931477.0
2018-03-15,52931477.0
2018-03-20,52931477.0
2018-03-25,52931477.0
2018-03-28,52931477.0
2018-04-01,53905201.0
2018-04-05,53905201.0
2018-04-10,53905201.0
2018-04-15,53905201.0
2018-04-20,53905201.0
2018-04-25,53905201.0
2018-04-28,53905201.0
2018-05-01,55058338.0
2018-05-05,55058338.0
2018-05-10,55058338.0
2018-05-15,55058338.0
2018-05-20,55058338.0
2018-05-25,55058338.0
2018-05-28,55058338.0
2018-06-01,55282899.0
2018-06-05,55282899.0
2018-06-10,55282899.0
2018-06-15,55282899.0
2018-06-20,55282899.0
2018-06-25,55282899.0
2018-06-28,55282899.0
2018-07-01,55804257.0
2018-07-05,55804257.0
2018-07-10,55804257.0
2018-07-15,55804257.0
2018-07-20,55804257.0
2018-07-25,55804257.0
2018-07-28,55804257.0
2018-08-01,55602941.0
2018-08-05,55602941.0
2018-08-10,55602941.0
2018-08-15,55602941.0
2018-08-20,55602941.0
2018-08-25,55602941.0
2018-08-28,55602941.0
2018-09-01,57031865.0
2018-09-05,57031865.0
2018-09-10,57031865.0
2018-09-15,57031865.0
2018-09-20,57031865.0
2018-09-25,57031865.0
2018-09-28,57031865.0
2018-10-01,57096296.0
2018-10-05,57096296.0
2018-10-10,57096296.0
2018-10-15,57096296.0
2018-10-20,57096296.0
2018-10-25,57096296.0
2018-10-28,57096296.0
2018-11-01,57504742.0
2018-11-05,57504742.0
2018-11-10,57504742.0
2018-11-15,57504742.0
2018-11-20,57504742.0
2018-11-25,57504742.0
2018-11-28,57504742.0
2018-12-01,58481824.0
2018-12-05,58481824.0
2018-12-10,58481824.0
2018-12-15,58481824.0
2018-12-20,58481824.0
2018-12-25,58481824.0
2018-12-28,58481824.0
2019-01-01,60207366.0
2019-01-05,60207366.0
2019-01-10,60207366.0
2019-01-15,60207366.0
2019-01-20,60207366.0
2019-01-25,60207366.0
2019-01-28,60207366.0
2019-02-01,59604913.0
2019-02-05,59604913.0
2019-02-10,59604913.0
2019-02-15,59604913.0
2019-02-20,59604913.0
2019-02-25,59604913.0
2019-02-28,59604913.0
2019-03-01,60364369.0
2019-03-05,60364369.0
2019-03-10,60364369.0
2019-03-15,60364369.0
2019-03-20,60364369.0
2019-03-25,60364369.0
2019-03-28,60364369.0
2019-04-01,60514032.0
2019-04-05,60514032.0
2019-04-10,60514032.0
2019-04-15,60514032.0
2019-04-20,60514032.0
2019-04-25,60514032.0
2019-04-28,60514032.0
2019-05-01,61077075.0
2019-05-05,61077075.0
2019-05-10,61077075.0
2019-05-15,61077075.0
2019-05-20,61077075.0
2019-05-25,61077075.0
2019-05-28,61077075.0
2019-06-01,61628250.0
2019-06-05,61628250.0
2019-06-10,61628250.0
2019-06-15,61628250.0
2019-06-20,61628250.0
2019-06-25,61628250.0
2019-06-28,61628250.0
2019-07-01,61237764.0
2019-07-05,61237764.0
2019-07-10,61237764.0
2019-07-15,61237764.0
2019-07-20,61237764.0
2019-07-25,61237764.0
2019-07-28,61237764.0
2019-08-01,62099109.0
2019-08-05,62099109.0
2019-08-10,62099109.0
2019-08-15,62099109.0
2019-08-20,62099109.0
2019-08-25,62099109.0
2019-08-28,62099109.0
2019-09-01,63436400.0
2019-09-05,63436400.0
2019-09-10,63436400.0
2019-09-15,63436400.0
2019-09-20,63436400.0
2019-09-25,63436400.0
2019-09-28,63436400.0
2019-10-01,63499135.0
