,Ар1.0,Ар1.1,Ар1.2,Ар2.0,Ар2.1,Ар2.2,Ар3.0,Ар3.1,Ар3.2,Ар4.0,Ар4.1,Ар4.2,Ар5.0,Ар5.1,Ар5.2,Ариск0,БК,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Крис,Кскр,Лам,Лат,ОД,Овм,Овт,ПК0,ПК1,ПК2,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
3013,264088.0,264088.0,264088.0,90586.0,90586.0,90586.0,0.0,0.0,0.0,1971177.0,1969344.0,1969344.0,0.0,0.0,0.0,264088.0,0.0,1.0,0.0,1822724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,2311833.0,870968.0,4150339.0,71536.0,2584089.0,2726639.0,680052.0,680052.0,680052.0,3068166.0,3068166.0,3068166.0,224330.53,224330.53,48082.88,176247.65,0.0,0.0,0.0,48082.88,224330.53,48082.88,176247.65,0.0,0.0,0.0,176247.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21122.72,,,,,,,,
3016,13150548.0,13150548.0,13150548.0,10515084.0,10515084.0,10515084.0,0.0,0.0,0.0,25242672.0,25242672.0,25242672.0,0.0,0.0,0.0,13150548.0,2926020.0,1.15,551000.0,44410152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30609565.0,32113428.0,40495641.0,13502165.0,30987031.0,33183683.0,3463544.0,3463544.0,3463544.0,248007.0,248007.0,248007.0,19840.56,19840.56,19840.56,0.0,0.0,0.0,0.0,19840.56,19840.56,19840.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
3017,369823.0,,369823.0,49884.0,,49884.0,0.0,,0.0,454497.0,,454497.0,0.0,,0.0,369823.0,15080.0,1.04,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,487170.0,756553.0,,,608609.0,69014.0,,69014.0,48888.0,,48888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3911.02,,,,,,,,
3027,405917.0,405917.0,405917.0,6556.0,6556.0,6556.0,0.0,0.0,0.0,174643.0,8693.0,8693.0,0.0,0.0,0.0,405917.0,0.0,1.0,0.0,2901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,149854.0,614680.0,1093374.0,0.0,215269.0,216522.0,0.0,0.0,0.0,170350.0,170350.0,170350.0,13628.0,13628.0,1477.0,12151.0,0.0,0.0,0.0,1477.0,13628.0,1477.0,12151.0,0.0,0.0,0.0,12151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
3037,191797.0,,191797.0,2708.0,,2708.0,,,,428160.0,,391814.0,,,,191797.0,,1.04,,,,,,,,,,,,,,195646.0,249107.0,,,104448.0,537.0,,537.0,14587.0,,14587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166.96,,,,,,,,
3061,1098867.0,1098867.0,1098867.0,263260.0,263260.0,263260.0,758276.0,758276.0,758276.0,2961696.0,2961696.0,2961696.0,0.0,0.0,0.0,2847178.0,1484598.0,1.37,1039765.0,1691162.0,0.0,0.0,334609.0,0.0,0.0,334609.0,0.0,0.0,334609.0,25294.0,5524877.0,6710562.0,11201444.0,107018.0,3368536.0,4993114.0,4066324.0,4066324.0,4066324.0,7965210.0,7965210.0,7965210.0,610999.19,610999.19,133452.02,477547.17,0.0,0.0,0.0,133452.02,610999.19,133452.02,477547.17,0.0,0.0,0.0,477547.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26217.63,,,,,,,,
3073,43343177.0,43343177.0,43343177.0,11734.0,11734.0,11734.0,0.0,0.0,0.0,6108465.0,5744205.0,5744205.0,0.0,0.0,0.0,43343177.0,1929590.0,1.0,0.0,1348599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32589.0,406025.0,6312401.0,19702756.0,156293.0,17825199.0,32970529.0,1942256.0,1942256.0,1942256.0,1448619.0,1448619.0,1448619.0,115889.52,115889.52,12301.34,103588.18,0.0,0.0,0.0,12301.34,115889.52,12301.34,103588.18,0.0,0.0,0.0,103588.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
3077,892450.0,892450.0,892450.0,22102.0,22102.0,22102.0,5790.0,5790.0,5790.0,4083623.0,3275298.0,3275298.0,0.0,0.0,0.0,892450.0,0.0,0.82,0.0,4106581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52897.0,7411755.0,1334554.0,3818547.0,1289302.0,1758715.0,2844700.0,3727703.0,3727703.0,3727703.0,3428127.0,3428127.0,3428127.0,264019.02,264019.02,57935.97,206083.05,0.0,0.0,0.0,57935.97,264019.02,57935.97,206083.05,0.0,0.0,0.0,206083.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10231.17,,,,,,,,
3085,3460738.0,3460738.0,3460738.0,3652273.0,3652273.0,3652273.0,,,,134907919.0,134853984.0,134853984.0,,,,3460738.0,1107777.0,1.0,843904.0,40873526.0,,,,,,,,,,,93447474.0,133180.0,18751419.0,40841952.0,239586.0,35435206.0,5798159.0,5798159.0,5798159.0,6303127.0,6303127.0,6303127.0,465010.45,465010.45,77964.44,387046.01,,,,77964.44,465010.45,77964.44,387046.01,,,,387046.01,,,,,,,,,,,39239.68,,,,,,,,
3095,635918.0,,635918.0,29.0,,29.0,0.0,,0.0,113791.0,,113791.0,0.0,,0.0,635918.0,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,651253.0,654717.0,,,392649.0,15145.0,,15145.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
3116,266437.0,,266437.0,73.0,,73.0,0.0,,0.0,92772.0,,92772.0,0.0,,0.0,266437.0,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,98134.0,334340.0,,,116187.0,94418.0,,94418.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
312,471016.0,471016.0,471016.0,888.0,888.0,888.0,,,,1499522.0,1764742.0,1764742.0,,,,471016.0,,1.0,,793955.0,,,,,,,,,,9532.0,1942983.0,274949.0,611563.0,1743613.0,260208.0,470008.0,354381.0,354381.0,354381.0,380996.0,380996.0,380996.0,28681.96,28681.96,12787.09,15894.87,402.0,201.0,201.0,12787.09,28681.96,12787.09,15894.87,402.0,201.0,201.0,15894.87,402.0,201.0,,,,,,,,201.0,1395.7,,,,,,,,
3122,165000.0,,165000.0,1190.0,,1190.0,0.0,,0.0,591372.0,,465125.0,0.0,,0.0,165000.0,0.0,0.97,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,480767.0,488283.0,,,403562.0,70537.0,,70537.0,20525.0,,20525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1640.0,,,,,,,,
