,Ар1.0,Ар1.1,Ар1.2,Ар2.0,Ар2.1,Ар2.2,Ар3.0,Ар3.1,Ар3.2,Ар4.0,Ар4.1,Ар4.2,Ар5.0,Ар5.1,Ар5.2,Ариск0,БК,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Крис,Кскр,Лам,Лат,ОД,Овм,Овт,ПК0,ПК1,ПК2,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
2867,2337625.0,2337625.0,2337625.0,80340.0,80340.0,80340.0,0.0,0.0,0.0,10124556.0,10095711.0,10095711.0,0.0,0.0,0.0,2543125.0,0.0,1.0,0.0,2428487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15079.0,10485748.0,1829187.0,3487361.0,212226.0,1958707.0,3716517.0,2905460.0,2905460.0,2905460.0,1439988.0,1439988.0,1439988.0,115199.0,115199.0,24454.0,90745.0,0.0,0.0,0.0,24454.0,115199.0,24454.0,90745.0,0.0,0.0,0.0,90745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2868,248067.0,,248067.0,163.0,,163.0,,,,1064370.0,,964289.0,,,,248067.0,4758.0,1.0,,,,,,,,,,,,,,246092.0,304216.0,,,163415.0,466530.0,,466530.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2876,601329.0,,601329.0,8252.0,,8252.0,,,,165194.0,,165191.0,,,,601329.0,,1.01,,,,,,,,,,,,,,180538.0,632865.0,,,303552.0,101348.0,,101348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.5,,,,,,,,
2877,440411.0,,440411.0,35307.0,,35307.0,0.0,,0.0,94715.0,,94715.0,0.0,,0.0,440411.0,0.0,0.98,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,429431.0,680069.0,,,448284.0,59808.0,,59808.0,21993.0,,21993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.76,260.88,260.88,0.0,521.76,260.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.88,1237.67,,,,,,,,
2879,34448879.0,34448879.0,34448879.0,320321.0,320321.0,320321.0,148206.0,148206.0,148206.0,36670046.0,35263912.0,35263912.0,0.0,0.0,0.0,35438073.0,7378918.0,1.0,5441.0,19898602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187080.0,26870954.0,32015876.0,63323433.0,3180703.0,55818462.0,64629770.0,24074627.0,24074627.0,24074627.0,12241919.0,12241919.0,12241919.0,357595.01,357595.01,243685.18,113909.83,54583.2,27291.6,27291.6,243685.18,357595.01,243685.18,113909.83,54583.2,27291.6,27291.6,113909.83,54583.2,27291.6,345369.09,287807.57,57561.52,0.0,0.0,0.0,0.0,27291.6,221806.19,,,,,,,,
2880,7771590.0,7771590.0,7771590.0,10455.0,10455.0,10455.0,0.0,0.0,0.0,6162590.0,6162590.0,6162590.0,0.0,0.0,0.0,8844407.0,0.0,1.0,489140.0,2705730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6475.0,6801989.0,5258090.0,9552480.0,3713197.0,2395127.0,2778096.0,4161206.0,4161206.0,4161206.0,259126.0,259126.0,259126.0,7808.54,7808.54,7808.54,0.0,0.0,0.0,0.0,7808.54,7808.54,7808.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12921.51,,,,,,,,
2881,115378.0,115378.0,115378.0,842.0,842.0,842.0,0.0,0.0,0.0,409742.0,303795.0,303795.0,0.0,0.0,0.0,115378.0,0.0,0.79,0.0,28683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192432.0,737593.0,1062076.0,7535.0,484521.0,526991.0,1154741.0,1154741.0,1154741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2883,663352.0,,663352.0,3765.0,,3765.0,,,,1723516.0,,1723488.0,,,,663352.0,,1.0,,,,,,,,,,,,,,637009.0,975500.0,,,525081.0,330654.0,,330654.0,71738.0,,71738.0,5087.0,5087.0,3150.0,1937.0,652.0,326.0,326.0,3150.0,5087.0,3150.0,1937.0,652.0,326.0,326.0,1937.0,652.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,,,,,,,,
2884,261449.0,,,121.0,,,,,,197980.0,,,,,,261449.0,,0.99,,,,,,,,,,,,,,,,,,,148430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449390.0,264653.0,111204.0,,
2897,503617.0,,503617.0,2415.0,,2415.0,0.0,,0.0,1120562.0,,1099837.0,0.0,,0.0,503617.0,16545.0,0.98,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,392986.0,633849.0,,,477648.0,0.0,,0.0,16857.0,,16857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1348.56,,,,,,,,
